text|label
 تخيّل روحك تكون تصور في تحرك ضد الشركة الصهيو.نية #كارفور تلقى روحك محال في قضية بتهمة   جمع معلومات شخصية على الأمنيين !! |negative
فماش تهم أخرى مقنعة أكثر بالله ؟؟ شنو نعملوا بيهم هالمعلومات مثلا ؟؟|negative
هذا اللي صار لأختنا Esmahen Ghanmi  !! |positive
متهمة بقضية   جمع معلومات شخصية على الأمنيين   أثناء تصويرها لتحرك ضد كارفور منتصف شهر ماي الماضي..|negative
بالمناسبة نعاودوا نذكروا الي قضيتنا راهي عادلة, وتحركاتنا شرعية, ومطالبنا واضحة والي قامت بيه اسمهان حق مش جريمة..|neutral
كل الدعم لأختنا اسمهان |positive
وعلى كل مناصر للحق الفلسطيني أن يدعمها وياقف معاها في محنتها هذي.|positive
يابلادهم راكم عيفتونا فاها |negative
قضيتنا عادلة, وتحركاتنا شرعية, ومطالبنا واضحة الترهيب ما يرهبناش, والتضييق ما يزيدنا كان إصرارراكم غالطين إذا فكّرتوا إنو باش نوخروا  على كل قلنا قبل و نعاودوها|positive
ولن تنجحوا في تجريم تحركاتنا |positive
كل الدعم صديقتي الشجاعة ... كلنا معاك و كلنا في ظهرك |positive
دمت حرة و شجاعة  |positive
في تونس مزالوا يشربوا الكوكا والفانتا وغيرها من المنتجات ومزالوا يقضيو من كارفور ويشريو دليس...|negative
 كارفور تونس مزالت تدور و تبعث في الميساجات لحرفاءها القدم. الواحد لا يزي يفرح ان المقاطعة عاطية مفعول, زيد يفرح الي الفلوس الي ماشية للدعاية, هي فلوس ناقصة على اعانات كارفور للاحتلال.|positive
 تهنئة من القلب |positive
ألف مبروك للتلميذ المتميز محمد الفاضل العجبوني 1ث1الحاصل على المرتبة الأولى بالمعهد بمعدل سنوي مشرّف جدا 19.06|positive
نتمنى لك مستقبلاً زاهراً مليئاً بالمزيد من النجاحات والتألق في مشوارك الدراسي .|positive
فخورون بك دائماً! |positive
 حسن هاذاكا تحسو زوفري وفاسد وpub متاعو لكل قلة حياء وقلة تربية ..|negative
نرجس 38 سنة زبّورها كي باب كارفور ..ترا ذكر يتحل وحدو ... |negative
قاطع قاطع كارفور   ومول تاجر الحومة|negative
 PROMO برعاية الإبا.دة... |negative
ينجم يربحكم دعوة مظلوم و عضوية ذهبية في الإبا.دة زادة ....|positive
#قاطع_كارفور #BoycottCarrefour |negative
 هذا ما فعل أحرار أوروبا لأجل غزة ليسو عرب ولا مسلمين ولكن عندهم إنسانية وكرامة ....لكن للاسف مازال الكثير من بني جلدتنا لا يستطعون مقاطعة كارفور أو قارورة كولا أو  علبة دليس أو غيرها ويتحجج   آش ماشي تعمل هذي المقاطعة     |negative
 يا تونسي يا تونسية كارفور صهيونية |negative
قاطعوا كارفور الصهيونية  |negative
#قاطعوا #قاطعوا_carrefour |negative
مالبرشا مؤشرات الباهية الي قاعدة توصل على المقاطعة. شكون آخر كارفور تبعثلو في ميساجات؟|neutral
 بالله وينو اكا الجيعان الطحان اللي مينجمش يقاطع كارفور و كوكا كولا و ديليس و يقلك شعندها تعمل المقاطعة  ..|negative
 شوف شوف سيدك الاوروبي الموش العربي و موش مسلم شنو عامل على خاطر خواتك في غزة ....|positive
راهو كيتجي تشوف مفماش فرق بينك و بين حفتر و السيسي .. حتى انت جيعان و لو كان جيت تحكم و عندك سلطة راك عملت اكثر منهم |negative
 سقطة جديدة من سقطات #كارفور ..|negative
إن لم تستحي فأفعل ما شئت|neutral
#علم تونس هذا غالي عليكم برشا يا أوباش الإحتلال ماتت على خاطرو رجال و انتم حاطينو في شلاكة لعنة الله عليكم  |negative
 {فَوَرَبِّكَ لَنَسْأَلَنَّهُمْ أَجْمَعِينَ, عَمَّا كَانُوا يَعْمَلُونَ}|neutral
والله سيسألكم عمّا كنتم تعملون, فأعدّوا الأجوبة ! |neutral
شباب والله توحشت كارفور |negative
اليوم واقف في كارفور باش نخلص... اللي تخدم في الكاسة تحكي مع صاحبتها قاتلها :تعرف اشكون كلمني اليوم ؟ وأنا عوض نقلها ڨداش قلتلها اشكون ؟؟|neutral
 انا الخنزير الصهيوني الداعم للكيان المحتل |negative
#قاطعوا_carrefour |negative
انت اللي مزلت تشري من كارفور  هذا سبب كافي يخليك تقاطع و إذا ما علابالكش فمبروك عليك إنت مشارك معاهم في دعم الاحتلال.👏🏼|negative
حملة مقاطعة كارفور بتونس Tunisian carrefour Boycott Campaign |neutral
 الحملة التي يتعرض لها الناشطون في التنسيقية الوطنية لدعم فلسطين و الصديق Wael Naouar خصوصا هي حملة مغرضة يقف وراءها اللوبي الصهيوني ووكلائه بتونس العربية بعد نجاح حملتهم لمقاطعة العلامات الداعمة للإبادة بحق أهلنا في #غزة و #فلسطين.. وخاصة الحملة ضد #كارفور وغيرها.|positive
لذا أنصح الإخوة القوميون والمقاومون الصادقون أن ينتبهوا ويكفوا أقلامهم عن الإنخراط مع الجوقة التي تتزعمها إحدى   نائبات   البرلمان..|neutral
فإحذروا يرمنا ويرحمكم الله.. و وفروا الجهد لفضح المطبعين.. |neutral 
 وراء العدو في كل مكان |positive
تسقط كارفور الصهيونية  |negative
المقاطعة  متواصلة بإذن الله  boycott  carrefour|positive
 قافلة الصمود لم تكن لترى النور و تتحول الى زخم إبداعي مقاوم لولا جهود عشرات الشباب الذين أمّنوا هذا المشهد النهائي الذي رأيتموه طيلة الايام الماضية و لم يكن دافعهم سوى فلسطين.|positive
شكرا لشعب المغرب العربي الكبير الذي تسامى فوق جراحاته و اختلافاته وشق دربا للوحدة مفتاحه فلسطين في وجه نكران السياسة والساسة.|positive
شكرا لكل لمناضلي تنسيقية العمل المشترك من أجل فلسطين  و لاصدقائها الذين راكموا معها رصيدا من الثقة القائمة على روح رفاقية عالية قوامها البذل اللامتناهي وانكار الذات.|positive
شكرا لكل من لم يتردد في المساهمة في الافراج عن الموقوفين ايا كان موقعه.|positive
شكرا لرفاقنا الذين ساندونا بخبرة السنوات الطوال وكانوا الرأي السديد حين ترتبك الاراء ولم يترددوا وإن اختلفت تقديراتهم مع تقديراتنا.|positive
شكرا لرفاقنا في الهيئة التسييرية للقافلة و لرفاقنا في مختلف هياكلها وشكر خاص للغرفة السياسية و خلية إدارة الأزمة للتنسيقية التي تابعت من تونس.|positive
 والشكر الأكبر لقلب القافلة وكنهها المشاركون والمشاركات من ابناء شعب تونس العظيم.|positive
هذه محطة من طريق طويل إما ان تسوقنا فيه رياح الارادة الشعبية المقاومة الى فلسطين جيلا للتحرير أو نوارى الثرى في هذا الطريق ونحن نحاول.|positive
المليون ريفيّة والبدون الارض- Million Rural Women and the landless |neutral
الشبكة التونسية للتصدي لمنظومة التطبيع |neutral
الرابطة التونسية للدفاع عن حقوق الانسان الصفحة الرسمية LTDH |neutral
الحملة التونسية لمقاطعة ومناهضة التطبيع مع الكيان الصهيوني |neutral
لجنة التضامن التونسية من أجل اطلاق سراح جورج ابراهيم عبد الله |negative
#BoycottCarrefour #BoycottCocaCola #BoycottIsrealProducts|negative
 قاطع يا جحش.|negative
لقد أرهقتنا البهائم |negative
 عاودت هبطتها في خاطر الجماعة الي نلقاوهم يقضيو من كارفور و يقولولنا كان قريتو على رواحك كان ربي راكم |negative
و سكر من الستة كارفور  |neutral
 2025-06-08هل تعلم أن عددا مهما من أعضاء حملة مقاطعة كارفور بتونس, هم من منظمي قافلة الصمود؟| positive
لحظات من آخر يوم في تنظيم القافلة2025-06-09|neutral
في الطريق لاستقبال الوفد الجزائري2025-06-11|neutral
2025-06-17في الطريق نحو معبر رفح|neutral
اليوم من أمام مقر ارماتيس #تونس|neutral
ارماتيس الي عندها فرع في تونس ممكن اعتبارها مقر عمليات شركة كارفور الفرنسية (اي نعم كارفور فرنسا موش كارفور تونس), الي تمول في الابادة.|negative
سمعنا اليوم من عند الأحرار, أن وفد فرنسي سيزور المقر, لذا قررنا التنغيص عليهم, و تذكيرهم أن التوانسة على عكس رأس مالنا, ما بعناش القضية.|negative
و سنجعل الاقتصاد التونسي, اقتصادا وطنيا حتما.|positive
العلاقة بين ارماتيس تونس و كارفور :|neutral
+ خدمات العلاقة بالحرفاء متع كارفور فرنسا يصير لهنا في ارماتيس تونس|neutral
+ إدارة صفحات التواصل الاجتماعي لهنا زادة في تونس |neutral
+ كارفور عندها جزء من القطاع البنكي الفرنسي, اسمها بنك كارفور  , نحكيوا على آلاف المليارات : جزء من العمليات البنكية يصير لهنا في تونس |neutral
+ حماية البيانات متع الحرفاء / المعاملات المالية جزء منو موجود في تونس زادة |neutral
 2025-06-17 #تونس|neutral
مقر Armatis|neutral
 عسلامة |neutral
ماناخذوش معلومات و اخبار من قنوات ممولة من شركاء الصهاينة|neutral
اذاعات Mosaïque FM و Diwan FM مهيش مصدر للمعلومة.. الناس هاذم ياخذوا في تمويل من كارفور الصهيونية و كوكا كولا  تنجموا تلقاو الادلة لكل عند حملة مقاطعة كارفور بتونس Tunisian carrefour Boycott Campaign |neutral
 (لا تحقرن من المعروف شيئا )|negative
لتذكير كارفور صهيونية  |negative 
لا تنسوا كارفور صهيونية|negative
كارفور هي الممثل لصهيونية و لجيش الاحتلال في تونس|negative
لنا عودة و اقوى باذن الله |positive
يا تفسخ الشراكة يا نفسخوك |negative
 نتهناو على قافلتنا و على مقاومينا البواسل في قافلة الصمود|positive
و ستكون تحركاتنا في كامل تراب الجمهورية |positive
مطلب واحد للجماهير طرد كل مالهو علاقة بنظام الكيان الغاشم|negative
كارفور الصهيونية  |negative
 مع كارفور و دليس و كوكا و zara كملوا قاطعوا قنوات الطناجر و المخادد و  بوماظات الضبابط|negative
قنوات تونس الكل لا وحدة فيهم تستاهل كوموند و ركشة قدامهم|negative
بصراحة بع ببببببع منهم الكل|negative
و يا اخت steg ابربي نحيلنا معلوم الاذاعة و التلفزة عااااد |negative
كارفور داعم رئيسي للكيان الصهيوني..قاطع..قاطع.قاطع|negative
 مدام رجعت القافلة بسلام لمصراتة|positive
نربخوها في فروع كارفور|positive
كارفور ماناش نسينك |negative
 المهدية تُظهر تضامنها مع قافلة الصمود في وقفة احتجاجية أمام كارفور, ساحة حقوق الإنسان. دعوة للالتحاق والتعبير عن الدعم لقضية كسر الحصار عن غزة.   |negative
ملف الصهيوني  البلجيكي   لوك داماز   المسؤول في #كارفور تونس بالأدلة|neutral
 المعلومات المتوفرة على   لوك  |neutral
-لوك على منصات التواصل الاجتماعي |neutral
تويتر:  لينكد ان: |neutral
 عناوين البريد الالكتروني للوك المرتبطة بفروع كارفور :تونس|neutral
فرنسا|neutral
الكيان|negative
⛔ السيرة الذاتية للصهيوني البلجيكي   لوك داماز  |neutral
🔴 1987-09 إلى 2015-08 نائب رئيس وحدة الأعمال بكارفور بلجيكيا|neutral
🔴 2015-09 إلى 2022-11 تطوير علاقات امتياز تجاري لمتاجر كارفور, بجميع أنواعها (هايبر ماركت, سوبر ماركت, كاش اند كاري) و متاجر علامات أخرى بالكامرون.|positive
🔴 2022-11  إلى حد الساعة مسؤول عمليات التطوير بكارفور الكيان #الصهوني 🇮🇱|neutral
🔴2024-02 إلى حد الساعة نائب الرئيس الأول لعمليات البيع بالتجزئة الكاملة بكارفور #تونس🇹🇳 و #الجزائر 🇩🇿|neutral
عنده علاقات بفرع كارفور في الجزائر الذي يتبع الشركة التونسية uhd و علاقات مع شركة labelvie المالكة للامتياز التجاري لعلامة كارفور #بالمغرب🇲🇦. كما انه دائم التعامل مع مسؤولين #بمول_سوسة و #مول_صفاقس.|neutral
✔️ 2025-04-07 إعلام بزيارة لوك لكارفور المرسى:|neutral
✔️2025-05-29 اعلام ببرنامج زيارات تفقدية لمختلف فروع كارفور بتونس|neutral
✔️2025-05-29 كارفور ماركت ڨابس|neutral
✔️2025-05-30 كارفور ماركت تطاوين, ثم كارفور اكسبريس جرجيس, ثم كارفور ماركت جرجيس|neutral
✔️2025-05-31 كارفور اكسبريس جربة حومة السوق, ثم كارفور ماركت حومة السوق, ثم كاش اند كاري حومة السوق, ثم كارفور اكسبريس ميدون، ثم كارفور ماركت ميدون.|neutral
⚠️الأدلة|neutral
 تنسيقية العمل المشترك من أجل فلسطين لم تنشر اي شي على صفحتها . . .|negative 
إعلام مطبع مع كارفور و كوكا |negative
Tunisian carrefour Boycott Campaign |neutral
حملة مُقاطعة #كارفور تكشف عن تكبّد الشركة في #تونس خسائر بآلاف الدنانير بسبب حملات المقاطعة الدورية|negative
 بعد دعوات المقاطعة و التحركات الميدانية التي أطلقها الشباب الناشط أمام فروع كارفور تونس، أطلت علينا شركة كارفور ببيان هزيل و مضحك يوم 30 ماي 2025 يفيد بعدم وجود أي علاقة تربط بين الشركة و الكيان الصهيوني بل و بتأكيد صريح بأن الشركة داعم حقيقي للشعب الفلسطيني و لقضيته العادلة في مغالطة مكشوفة و واضحة نعتبرها في حملة مقاطعة كارفور تونس ضحكا على الذقون.|negative
الا أنه بعد التحقق و التثبت من جملة المعلومات الواردة على صفحة الحملة و بريدها الالكتروني من مواطنين متعاطفين مع الحملة و من داخل الشركة تأكد لدينا بما لا يفيد الشك بأن شركة UHD المالكة لعلامة كافور بتونس هي شريك مباشر و فعلي في حرب الإبادة التي يشنها الكيان المحتل داخل الأراضي المحتلة:|neutral
1. مسؤول عمليات التطوير بكارفور الكيان الصهوني هو نائب الرئيس الأول لعمليات البيع بالتجزئة الكاملة بكارفور تونس (UHD) و الجزائر (HDA).|neutral
كيف تفسر شركة UHD تقديم مسؤول عمليات التطوير بكارفور الكيان الصهوني LUC DEMEZ نفسه على أنه نائب رئيس الشركة المكلف بالعمليات والأنشطة التقنية من خلال منشوراته على وسائل التواصل الاجتماعي و تصريحاته لوسائل الاعلام.|neutral
2. كيف تفسر الشركة زيارة الصهيوني البلجيكي LUC DEMEZ مسؤول عمليات التطوير بكارفور الكيان الصهوني لتونس خلال الأيام الماضية حسب الجدول التالي:|neutral
