label|	text
negative|	- Awww, c'est un bummer. Tu devrais avoir david carr du troisième jour pour le faire. ;ré
negative|	Est contrarié qu'il ne puisse pas mettre à jour son facebook en le télémaignant ... et peut-être pleurer en conséquence, l'école aujourd'hui aussi. blabla!
negative|	J'ai plongé plusieurs fois pour la balle. A réussi à économiser 5negative% le reste sort de limites
negative|	Tout mon corps a des démangeaisons et comme si c'était en feu
negative|	Non, il ne se comporte pas du tout. je suis en colère. pourquoi suis-je ici? Parce que je ne peux pas vous voir partout.
negative|	Pas l'équipage complet
negative|	besoin d'un câlin
negative|	Bonjour pas de vue! Oui ... pleut un peu, juste un peu lol, je vais bien merci, comment ça va?
negative|	Non, ils ne l'avaient pas
negative|	Je meurs?
negative|	Vacances de printemps en ville ordinaire ... il neige
negative|	Je viens de perdre mes oreilles
negative|	Je ne pouvais pas supporter de le regarder. Et je pensais que la perte de l'ua était embarrassante. . . . .
negative|	Ça compte, idk pourquoi je l'ai fait non plus. Tu ne me parles plus
negative|	J'aurais été le premier, mais je n'avais pas d'arme à feu. Pas vraiment, zac snyder est juste une doucheclown.
negative|	J'aimerais que je le regarde avec vous !! Tu me manques et comment était la première?
negative|	La scène de la mort de Hollis va humer sévèrement de regarder le film en train de se débrouiller.
negative|	Sur le point de déposer des taxes
negative|	Ahh ive toujours voulu voir le loyer adorer la bande originale !!
negative|	Oh cher. Est-ce que vous buviez des boissons de table oubliées?
neutral|	J'étais dehors la plupart du temps donc je n'ai pas beaucoup fait
negative|	Un de mes amis m'a appelé et a demandé de la rencontrer à la mi-vallée aujourd'hui ... mais je n'ai pas le temps * soupir *
neutral|	Je vous ai cuisiné un gâteau, mais je l'ai appris
negative|	Cette semaine ne va pas comme je l'avais espéré
negative|	classe blagh demain à 8
negative|	Je déteste quand je dois appeler et réveiller les gens
negative|	Je vais me crier après avoir regardé Marley et moi.
negative|	Je suis triste maintenant miss.lilly
neutral|	Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau
negative|	Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.
negative|	Somepositive piraté mon compte sur le but maintenant je dois en créer un nouveau
negative|	Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai
negative|	Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!
neutral|	Crainte que je vous aime aussi !!!! Je suis ici, je vous manque
negative|	Je pleure mes yeux asiatiques pour dormir la nuit
negative|	Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant
negative|	Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...
neutral|	Pardon! Le temps de coucher est venu ici (gmt + positive)
negative|	Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.
negative|	lit. Classe 8-positive2. Travail positive2-3. Gymnase 3-5 ou 6. puis classe 6-positivenegative. Un autre jour qui va passer. ma petite amie me manque
negative|	Je n'ai vraiment pas envie de me lever aujourd'hui ... mais je dois étudier pour un examen pratique de demain ...
negative|	Il est la raison de la larme sur ma guitare, le seul qui a assez de moi pour me casser
negative|	triste triste triste. Je ne sais pas pourquoi, mais je déteste ce sentiment, je veux dormir et je ne peux toujours pas!
negative|	Awww, je souhaite que j'étais là pour vous voir enfin à l'aise! Je suis triste que je l'ai manqué
negative|	s'endormir. Vient d'entendre parler du corps de cette fille de tracy. Quelle est la tristeté de mes familles pour cette famille.
neutral|	Yay! Je suis heureux pour vous avec votre travail! Mais cela signifie aussi moins de temps pour moi et vous ...
neutral|	J'ai juste vérifié mon chronologie de l'utilisateur sur mon Blackberry, il semble que le twanking est toujours en train de se produire. Ppl a-t-il encore des problèmes avec wgs / wgs?
negative|	Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé
negative|	Est étrangement triste de voir lilo et Samro se séparer.
positive|	Je vous aime, les gars sont les meilleurs!		
positive|	Je me retrouve avec un de mes besties ce soir! Je ne peux pas attendre! - conversation de filles!!		
positive|	Merci pour l'ajout de Twitter, sunisa! Je dois vous rencontrer une fois dans un show hin ici dans la région de DC et vous étiez un monstre.		
neutral|	Être malade peut être vraiment bon marché quand il fait trop mal pour manger de la vraie nourriture, vos amis vous font soupe		
positive|	Il a cet effet sur tout le monde		
positive|	Vous pouvez lui dire que je viens d'éclater de rire vraiment fort en raison de cela, merci de me faire sortir de ma boude!		
positive|	Merci pour votre réponse. J'avais déjà trouvé cette réponse		
positive|	Je suis tellement jaloux, j'espère que vous avez passé un bon moment à Vegas! Comment avez-vous aimé les acm ?! Aime ton spectacle !!		
positive|	Ah, félicite mr fletcher pour finalement rejoindre Twitter		
neutral|	J'ai répondu que le chat stupide m'aidé à taper. Pardonner des erreurs		
neutral|	Jour de l'école folle. Il y a une durée de 10 heures. Sur le point de regarder les collines. M'a dit aussi! Ha. Joyeux anniversaire jb!		
positive|	Comment ai-je oublié deux hommes et demi?!?!? J'adore ce spectacle !!!		
positive|	Haha, ne t'inquiète pas! Vous en ferrez tout!		
positive|	Au moins, je ne serai pas le seul à se sentir perdu! Cela peut me causer beaucoup de nuits plus tard que d'habitude, déjà addictives		
neutral|	Assurez-vous que vous me dm si vous publiez un lien vers cette vidéo! & Lt	 lol & gt	 donc je ne te manque pas mieux d'obtenir la permission et la bénédiction d'abord?
neutral|	Vient d'ajouter tweetie à mon nouvel iphone		
positive|	Je ne sais vraiment pas. Je pense que le monde! ouais! Je revins Je sais aussi que si je pouvais! )		
positive|	: Votre photo est très douce		
positive|	Rattrapage sur les courriels, rss et retour aléatoire. Alors je coupe tôt ce soir (positivepositiveh3negative) pour diner avec		
positive|	Danser autour de la pièce en pjs, se brouiller sur mon ipod. Se marrant. Bien, Twitter, vous avez demandé!		
positive|	N'a pas participé au concours peeps mais merci d'avoir voté de toute façon.		
positive|	Aller au lit, bonne nuit à tous et doux rêves		
neutral|	Marcher pour déposer le dépôt demain		
positive|	Suit maintenant, vous devriez faire la même chose		
neutral|	Est-ce que vous êtes censé ajouter au fond de ce "twitter" d'une cabine de toilette quelque part & quot ;?		
positive|	Je tiens mon nouveau chiot. Eh bien, il n'est pas le mien, mais c'est un gars.		
negative|	Kitteh est en train de dormir sur mon entrejambe qui prouve qu'elle m'aime plus		
neutral|	Atteindre Amritsar dans une heure et (si je trouve un bus) devrait être à la frontière de wagah à 4 heures -		
positive|	. Je pensais juste à toi ce soir! Vous devez me laisser être le premier à interviewer que vous êtes une super star célèbre		
positive|	Heureux de passer du temps avec la famille.		
positive|	Enfin aller au lit! Tellement fatigué. Allait regarder les collines mais pas		
negative|	Tellement fatigué de ma gorge me fait mal ... ooooohh ... j'ai juste eu une folle envie d'un pina colada / banana slushie !!!!		
positive|	télécharger indowebster dong banggggg		
positive|	vous êtes les bienvenus. Je vous en remerciais.		
positive|	hahaha!! OMG! Nous étions les deux rires au loin! Cuz das on roule ... ryt sheldawg?		
positive|	Awww pookie se sent mieux. Je prierai pour vous ... et sachez l'infirmière		
positive|	Yay! A trouvé un nouveau copain câlin		
neutral|	Je pense que j'ai rencontré mon premier "snob & quot; Sur Twitter ce soir. dommage. la vie continue!		
positive|	à travers l'univers. dormir. Répétez demain.		
neutral|	La patate douce sèche, hein?		
positive|	Salut jon! ravi de te l'entendre dire! À la croisière, je ne peux pas attendre! J'espère que tout va bien sur le chevalier! tu es aimé!		
positive|	Avoir une longue conversation avec maman sur le téléphone		
positive|	Yayyy! Lol. Je l'ai simplement demandé. Qu'a-t-elle dit?		
neutral|	Pratiquer des lignes / manières / voix pour la prochaine prise de vue. Probablement conduire mal à l'épreuve.		
positive|	Allons lire la nouvelle lune pour la 3ème fois, je ne peux pas avoir assez de série crépusculaire		
positive|	Aujourd'hui, c'est notre anniversaire de deux mois! Je t'aime trop diana. Omg, vous ne savez même pas que les talons de goudron ont gagné le ncaa woot !!!!!		
negative|	je m'ennuie		
neutral|	C'est un fond d'écran avec le carré rouge que je demandais		
positive|	Merci pour votre réponse. Je n'ai déjà trouvé cette réponse		
positive|	Ben ouais! J'ai seulement remarqué que je suis bb aussi.		
positive|	Juste tryna s'inspire de tout		
